"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,1341,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,298,0.3
"2",13,7216,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,1605,1.5
"3",14,35,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,8,0
"4",15,869,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,193,0.2
"5",16,227,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,50,0
"6",17,286,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,64,0.1
"7",22,305,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,68,0.1
"8",23,142,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,32,0
"9",24,18,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,4,0
"10",25,5497,278209151,"Developed-Roads",0,0,0,0,0,0,1223,1.2
"11",32,43,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,10,0
"12",63,2,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,0,0
"13",64,131,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,29,0
"14",65,5,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,1,0
"15",68,6,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,1,0
"16",102,1,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,0,0
"17",103,1,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,0,0
"18",104,5,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,1,0
"19",105,8,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,2,0
"20",106,22,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,5,0
"21",107,42,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,9,0
"22",108,3475,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,773,0.7
"23",109,174,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,39,0
"24",110,334,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,74,0.1
"25",111,753,66078363,"Tree Height = 11 meters",165,206,152,0.647058824,0.807843137,0.596078431,167,0.2
"26",112,1410,90377419,"Tree Height = 12 meters",156,201,143,0.611764706,0.788235294,0.560784314,314,0.3
"27",113,2733,120127380,"Tree Height = 13 meters",148,197,135,0.580392157,0.77254902,0.529411765,608,0.6
"28",114,4780,179336753,"Tree Height = 14 meters",140,194,126,0.549019608,0.760784314,0.494117647,1063,1
"29",115,7656,181812671,"Tree Height = 15 meters",132,190,117,0.517647059,0.745098039,0.458823529,1703,1.6
"30",116,10890,238107595,"Tree Height = 16 meters",124,187,108,0.48627451,0.733333333,0.423529412,2422,2.3
"31",117,12595,197064685,"Tree Height = 17 meters",115,183,99,0.450980392,0.717647059,0.388235294,2801,2.7
"32",118,23777,409548202,"Tree Height = 18 meters",106,180,91,0.415686275,0.705882353,0.356862745,5288,5.1
"33",119,18015,196386027,"Tree Height = 19 meters",97,177,84,0.380392157,0.694117647,0.329411765,4006,3.9
"34",120,24716,180182164,"Tree Height = 20 meters",87,174,77,0.341176471,0.682352941,0.301960784,5497,5.3
"35",121,34656,148652997,"Tree Height = 21 meters",78,171,70,0.305882353,0.670588235,0.274509804,7707,7.4
"36",122,47372,130787915,"Tree Height = 22 meters",71,164,64,0.278431373,0.643137255,0.250980392,10535,10.2
"37",123,57308,108221951,"Tree Height = 23 meters",66,154,60,0.258823529,0.603921569,0.235294118,12745,12.3
"38",124,61757,87181121,"Tree Height = 24 meters",62,143,56,0.243137255,0.560784314,0.219607843,13734,13.2
"39",125,50596,66488811,"Tree Height = 25 meters",58,133,52,0.22745098,0.521568627,0.203921569,11252,10.8
"40",126,35980,38847407,"Tree Height = 26 meters",50,126,51,0.196078431,0.494117647,0.2,8002,7.7
"41",127,22293,28602678,"Tree Height = 27 meters",36,122,53,0.141176471,0.478431373,0.207843137,4958,4.8
"42",138,2136,20171190,"Tree Height = 38 meters",0,83,45,0,0.325490196,0.176470588,475,0.5
"43",208,4,269429020,"Shrub Height = 0.8 meter",225,209,166,0.882352941,0.819607843,0.650980392,1,0
"44",209,1,104787172,"Shrub Height = 0.9 meter",224,206,161,0.878431373,0.807843137,0.631372549,0,0
"45",210,4,43505615,"Shrub Height = 1 meter",222,204,156,0.870588235,0.8,0.611764706,1,0
"46",211,1,60993359,"Shrub Height = 1.1 meters",220,201,151,0.862745098,0.788235294,0.592156863,0,0
"47",212,4,38607461,"Shrub Height = 1.2 meters",216,197,145,0.847058824,0.77254902,0.568627451,1,0
"48",213,9,22507662,"Shrub Height = 1.3 meters",201,183,135,0.788235294,0.717647059,0.529411765,2,0
"49",214,14,20687096,"Shrub Height = 1.4 meters",186,170,125,0.729411765,0.666666667,0.490196078,3,0
"50",215,3086,16605241,"Shrub Height = 1.5 meters",171,156,115,0.670588235,0.611764706,0.450980392,686,0.7
"51",220,4,18587276,"Shrub Height = 2.0 meters",121,92,70,0.474509804,0.360784314,0.274509804,1,0
"52",221,2,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,0,0
"53",222,160,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,36,0
"54",223,1,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,0,0
"55",224,7,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,2,0
"56",225,4,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,1,0
"57",226,8,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,2,0
"58",227,9,6337719,"Shrub Height = 2.7 meters",69,42,26,0.270588235,0.164705882,0.101960784,2,0
