evt,ref_label,ref_percent,current_percent,total_count
Allegheny-Cumberland Dry Oak Forest and Woodland,A,17,1,328387
Allegheny-Cumberland Dry Oak Forest and Woodland,B,1,1,328387
Allegheny-Cumberland Dry Oak Forest and Woodland,C,13,50,328387
Allegheny-Cumberland Dry Oak Forest and Woodland,D,6,39,328387
Allegheny-Cumberland Dry Oak Forest and Woodland,E,63,10,328387
Allegheny-Cumberland Dry Oak Forest and Woodland,UE,0,1,328387
Southern Appalachian Oak Forest,A,5,0,5776
Southern Appalachian Oak Forest,B,25,0,5776
Southern Appalachian Oak Forest,C,36,0,5776
Southern Appalachian Oak Forest,D,25,65,5776
Southern Appalachian Oak Forest,E,9,35,5776
South-Central Interior Mesophytic Forest,A,2,1,8922
South-Central Interior Mesophytic Forest,B,11,71,8922
South-Central Interior Mesophytic Forest,C,32,3,8922
South-Central Interior Mesophytic Forest,D,55,11,8922
South-Central Interior Mesophytic Forest,UE,0,1,8922
South-Central Interior Mesophytic Forest,UN,0,14,8922
